Model,Version,Info,Firmware
Snom 300,8.7.5.48,Snom 300 FW: Added support for Lets Encrypt,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snom300-8.7.5.48-SIP-f.bin
Snom 320,8.7.5.48,Snom 320 FW: Added support for Lets Encrypt,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snom320-8.7.5.48-SIP-f.bin
Snom 360,8.7.3.25.9,Snom 360 FW: Added support for Lets Encrypt,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snom360-8.7.3.25.9-SIP-f.bin
Snom 370,8.7.5.48,Snom 370 FW: Added support for Lets Encrypt,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snom370-8.7.5.48-SIP-f.bin
Snom 710,8.9.3.96,Snom 710 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snom710-8.9.3.96-SIP-r.bin
Snom 715,10.1.175.16,Snom 715 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snom715-10.1.175.16-SIP-r.bin
Snom 720,8.9.3.88,Snom 720 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snom720-8.9.3.88-SIP-r.bin
Snom 725,10.1.175.16,Snom 725 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snom725-10.1.175.16-SIP-r.bin
Snom 760,8.9.3.88,Snom 760 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snom760-8.9.3.88-SIP-r.bin
Snom D120,10.1.54.24,Snom D120 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD120-10.1.54.24-SIP-r.bin
Snom D140,10.1.175.16,Snom D140 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD140-10.1.175.16-SIP-r.bin
Snom D150,10.1.175.16,Snom D150 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD150-10.1.175.16-SIP-r.bin
Snom D305,10.1.64.17,Snom D305 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD305-10.1.64.17-SIP-r.bin
Snom D315,10.1.175.16,Snom D315 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD315-10.1.175.16-SIP-r.bin
Snom D335,10.1.175.16,Snom D335 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD335-10.1.175.16-SIP-r.bin
Snom D345,10.1.175.16,Snom D345 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD345-10.1.175.16-SIP-r.bin
Snom D375,10.1.64.17,Snom D375 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD375-10.1.64.17-SIP-r.bin
Snom D385,10.1.175.16,Snom D385 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD385-10.1.175.16-SIP-r.bin
Snom D712,10.1.175.16,Snom D712 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD712-10.1.175.16-SIP-r.bin
Snom D713,10.1.175.16,Snom D713 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD713-10.1.175.16-SIP-r.bin
Snom D717,10.1.175.16,Snom D717 FW: Maintenance release,https://downloads-global.3cx.com/downloads/v200/templates/firmwareupdates/snom/snomD717-10.1.175.16-SIP-r.bin
